total_loss,content_loss,style_loss,tv_loss,weighted_content_loss,weighted_style_loss,weighted_tv_loss,step
98.95344543457031,0.5881516933441162,0.0003217887715436518,6.523562908172607,1.7644550800323486,96.53662872314453,0.6523563265800476,1
45.461219787597656,0.6470119953155518,0.0001430534612154588,6.0414628982543945,1.9410359859466553,42.916038513183594,0.6041463017463684,2
30.529033660888672,0.6274228096008301,9.360935655422509e-05,5.639577865600586,1.8822684288024902,28.082807540893555,0.5639578104019165,3
17.272785186767578,0.5576450824737549,5.0348968215985224e-05,4.951587200164795,1.6729352474212646,15.104690551757812,0.49515873193740845,4
11.884642601013184,0.5417623519897461,3.271923560532741e-05,4.435842514038086,1.6252870559692383,9.815771102905273,0.44358426332473755,5
8.84965991973877,0.5723720192909241,2.249769022455439e-05,3.8323726654052734,1.717116117477417,6.749307155609131,0.3832372725009918,6
6.77099084854126,0.5759467482566833,1.5565956346108578e-05,3.7336392402648926,1.7278401851654053,4.6697869300842285,0.3733639419078827,7
6.019139289855957,0.5471283197402954,1.337173944193637e-05,3.662322521209717,1.6413849592208862,4.011521816253662,0.3662322461605072,8
5.256361961364746,0.5224122405052185,1.1127698599011637e-05,3.508157730102539,1.5672366619110107,3.3383095264434814,0.3508157730102539,9
4.682835102081299,0.49772489070892334,9.480352673563175e-06,3.455547571182251,1.49317467212677,2.8441057205200195,0.34555476903915405,10
4.229175567626953,0.47530609369277954,8.22055881144479e-06,3.370896577835083,1.4259183406829834,2.466167688369751,0.3370896577835083,11
3.857060432434082,0.450793981552124,7.262678082042839e-06,3.2587506771087646,1.352381944656372,2.1788034439086914,0.32587507367134094,12
3.56274151802063,0.42792126536369324,6.541002676385688e-06,3.1667685508728027,1.2837637662887573,1.9623007774353027,0.3166768550872803,13
3.3172664642333984,0.40596094727516174,5.963366220385069e-06,3.103738307952881,1.2178828716278076,1.7890098094940186,0.31037384271621704,14
3.1094329357147217,0.3851686120033264,5.507262358150911e-06,3.0174829959869385,1.155505895614624,1.6521787643432617,0.3017483055591583,15
2.9346466064453125,0.36720409989356995,5.1365386752877384e-06,2.920727491378784,1.1016123294830322,1.5409616231918335,0.29207274317741394,16
2.774792432785034,0.3502047657966614,4.796017037733691e-06,2.853728771209717,1.050614356994629,1.438805103302002,0.28537288308143616,17
2.637333631515503,0.3345966339111328,4.517494744504802e-06,2.7829537391662598,1.0037899017333984,1.3552484512329102,0.2782953679561615,18
2.5137240886688232,0.32142239809036255,4.269711098459084e-06,2.685434341430664,0.9642671942710876,1.2809133529663086,0.26854345202445984,19
2.403783082962036,0.3096514344215393,4.046005869895453e-06,2.6102709770202637,0.9289543032646179,1.2138017416000366,0.26102709770202637,20
2.304445505142212,0.2983146011829376,3.848975666187471e-06,2.548090934753418,0.8949438333511353,1.1546926498413086,0.25480911135673523,21
2.213522434234619,0.28867775201797485,3.6722556160384556e-06,2.4581236839294434,0.8660332560539246,1.1016767024993896,0.24581237137317657,22
2.130632162094116,0.28008362650871277,3.507765541144181e-06,2.3805160522460938,0.8402508497238159,1.052329659461975,0.2380516082048416,23
2.0542593002319336,0.2716086506843567,3.3592566524021095e-06,2.316563129425049,0.8148259520530701,1.0077769756317139,0.23165631294250488,24
1.9839839935302734,0.2633061408996582,3.231328037145431e-06,2.246670722961426,0.7899184226989746,0.9693984389305115,0.22466707229614258,25
1.9205371141433716,0.25762611627578735,3.1078598112799227e-06,2.153008222579956,0.7728783488273621,0.9323579668998718,0.21530082821846008,26
1.8638421297073364,0.2510172128677368,2.999109028678504e-06,2.1105780601501465,0.7530516386032104,0.8997327089309692,0.21105781197547913,27
1.8075957298278809,0.2462713122367859,2.8920319437020225e-06,2.0117223262786865,0.7388139367103577,0.8676095604896545,0.20117223262786865,28
1.750265121459961,0.23928745090961456,2.783673835438094e-06,1.973006248474121,0.7178623676300049,0.8351021409034729,0.19730062782764435,29
1.6998740434646606,0.2340761423110962,2.690876954147825e-06,1.9038257598876953,0.7022284269332886,0.8072630763053894,0.19038258492946625,30
1.6515220403671265,0.22917579114437103,2.6005395739048254e-06,1.8383281230926514,0.6875273585319519,0.7801618576049805,0.1838328093290329,31
1.6050790548324585,0.22495636343955994,2.513485469535226e-06,1.7616424560546875,0.6748690605163574,0.7540456652641296,0.17616425454616547,32
1.5599780082702637,0.2205686867237091,2.4278501769003924e-06,1.6991682052612305,0.6617060899734497,0.7283550500869751,0.16991682350635529,33
1.5182958841323853,0.21604809165000916,2.3536272237834055e-06,1.6406340599060059,0.6481442451477051,0.7060881853103638,0.16406340897083282,34
1.4786306619644165,0.21186429262161255,2.2804917989560636e-06,1.5889023542404175,0.6355928778648376,0.6841475367546082,0.1588902324438095,35
1.4419866800308228,0.20912204682826996,2.212244908150751e-06,1.5094714164733887,0.6273661255836487,0.663673460483551,0.15094713866710663,36
1.4050496816635132,0.20539318025112152,2.1388455024862196e-06,1.4721646308898926,0.6161795258522034,0.6416536569595337,0.14721646904945374,37
1.3738330602645874,0.20260348916053772,2.090607722493587e-06,1.3884029388427734,0.6078104972839355,0.6271823048591614,0.13884030282497406,38
1.3376176357269287,0.1982034593820572,2.0211507489875657e-06,1.36661958694458,0.5946103930473328,0.6063452363014221,0.13666196167469025,39
1.307430624961853,0.19553545117378235,1.967376192624215e-06,1.3061127662658691,0.5866063833236694,0.590212881565094,0.13061128556728363,40
1.2788363695144653,0.19212606549263,1.916964720294345e-06,1.2736880779266357,0.5763782262802124,0.5750893950462341,0.12736880779266357,41
1.2525218725204468,0.1904175579547882,1.8683873577174381e-06,1.2075294256210327,0.571252703666687,0.5605161786079407,0.12075294554233551,42
