total_loss,content_loss,style_loss,tv_loss,weighted_content_loss,weighted_style_loss,weighted_tv_loss,masked_style_loss,style_loss_sky,style_loss_water,style_loss_bridge_building,style_loss_mountain_land,step
361.3236999511719,0.5883356332778931,0.0011963644064962864,6.49366569519043,1.7650068998336792,358.9093322753906,0.649366557598114,0.0011963644064962864,0.0003171824791934341,0.00031242205295711756,0.0003000945143867284,0.0002666653017513454,1
225.75218200683594,0.5972154140472412,0.0007444425718858838,6.277589797973633,1.7916462421417236,223.33277893066406,0.6277589797973633,0.0007444425718858838,0.0002548649499658495,0.00018918197019957006,0.00020365470845717937,9.674097236711532e-05,2
147.6941375732422,0.6145628690719604,0.00048417208017781377,5.988338470458984,1.8436886072158813,145.25161743164062,0.5988338589668274,0.00048417208017781377,0.00018724609981290996,0.00011419595830375329,0.00013378322182688862,4.8946807510219514e-05,3
86.32698059082031,0.6123592853546143,0.0002798002678900957,5.498250961303711,1.8370778560638428,83.94007873535156,0.549825131893158,0.0002798002678900957,0.00011440050730016083,5.978424087516032e-05,7.881843339418992e-05,2.679709723452106e-05,4
53.472755432128906,0.5858590602874756,0.0001707331248326227,4.952428340911865,1.7575771808624268,51.21993637084961,0.4952428340911865,0.0001707331248326227,6.839464913355187e-05,3.370914055267349e-05,4.9586327804718167e-05,1.9042998246732168e-05,5
41.155155181884766,0.5808693170547485,0.0001299060822930187,4.407238006591797,1.7426079511642456,38.971824645996094,0.44072380661964417,0.0001299060822930187,4.202355557936244e-05,2.0698826119769365e-05,3.136056329822168e-05,3.5823144571622834e-05,6
33.59286880493164,0.5874828100204468,0.00010466945968801156,4.295812606811523,1.7624484300613403,31.40083885192871,0.42958125472068787,0.00010466945968801156,3.846336403512396e-05,1.861536475189496e-05,2.7586242140387185e-05,2.0004490579594858e-05,7
30.974929809570312,0.5927164554595947,9.591309208190069e-05,4.228529453277588,1.7781493663787842,28.773927688598633,0.4228529632091522,9.591309208190069e-05,3.6404686397872865e-05,1.7218942957697436e-05,2.4911769287427887e-05,1.7377691619913094e-05,8
25.872568130493164,0.6131990551948547,7.876370364101604e-05,4.038602828979492,1.839597225189209,23.62911033630371,0.40386030077934265,7.876370364101604e-05,3.0628489184891805e-05,1.4316329725261312e-05,1.917415102070663e-05,1.4644731891166884e-05,9
22.603221893310547,0.6283478736877441,6.774466601200402e-05,3.9477643966674805,1.8850436210632324,20.323400497436523,0.39477643370628357,6.774466601200402e-05,2.7027826945413835e-05,1.2672111552092247e-05,1.654699372011237e-05,1.1497737432364374e-05,10
20.09187126159668,0.6370245218276978,5.929983308305964e-05,3.908478260040283,1.9110735654830933,17.789949417114258,0.3908478319644928,5.929983308305964e-05,2.4874201699276455e-05,1.1228324183321092e-05,1.397579580952879e-05,9.221511390933301e-06,11
17.851877212524414,0.6519001722335815,5.1708433602470905e-05,3.8364667892456055,1.9557005167007446,15.512530326843262,0.383646696805954,5.1708433602470905e-05,2.15332747757202e-05,1.0052025572804268e-05,1.1794303645729087e-05,8.328834155690856e-06,12
16.371259689331055,0.6663882732391357,4.665144660975784e-05,3.766620397567749,1.9991648197174072,13.995433807373047,0.3766620457172394,4.665144660975784e-05,1.9261449779151008e-05,9.306452739110682e-06,1.0462014870427083e-05,7.621531040058471e-06,13
15.192359924316406,0.6712616682052612,4.268556222086772e-05,3.729053258895874,2.013784885406494,12.805668830871582,0.37290534377098083,4.268556222086772e-05,1.7998605471802875e-05,8.7656162577332e-06,9.544159183860756e-06,6.377182216965593e-06,14
14.082391738891602,0.6739022135734558,3.897261558449827e-05,3.6890010833740234,2.0217065811157227,11.691784858703613,0.3689001202583313,3.897261558449827e-05,1.6437894373666495e-05,8.18565058580134e-06,8.558118679502513e-06,5.790951945527922e-06,15
13.172165870666504,0.6815287470817566,3.5886252589989454e-05,3.6170380115509033,2.044586181640625,10.765875816345215,0.3617038130760193,3.5886252589989454e-05,1.4476695469056722e-05,7.536130851804046e-06,7.5126895353605505e-06,6.360738552757539e-06,16
12.380949974060059,0.6834796667098999,3.323989221826196e-05,3.5854368209838867,2.05043888092041,9.971967697143555,0.3585436940193176,3.323989221826196e-05,1.375896499666851e-05,7.216080120997503e-06,7.01193403074285e-06,5.252913979347795e-06,17
11.884681701660156,0.6811589002609253,3.161454515065998e-05,3.5684165954589844,2.0434765815734863,9.484363555908203,0.35684165358543396,3.161454515065998e-05,1.3320982361619826e-05,6.988322638790123e-06,6.619965461140964e-06,4.685277872340521e-06,18
11.368512153625488,0.6772277355194092,2.9950873795314692e-05,3.515671730041504,2.0316832065582275,8.985261917114258,0.35156717896461487,2.9950873795314692e-05,1.2349039025139064e-05,6.551426395162707e-06,5.932208296144381e-06,5.118199624121189e-06,19
10.84245777130127,0.675347089767456,2.8228689188836142e-05,3.4780941009521484,2.026041269302368,8.468606948852539,0.34780940413475037,2.8228689188836142e-05,1.1805022040789481e-05,6.301823759713443e-06,5.575528120971285e-06,4.546314357867232e-06,20
10.463665008544922,0.6715424060821533,2.7008572942577302e-05,3.464658260345459,2.01462721824646,8.102571487426758,0.3464658260345459,2.7008572942577302e-05,1.1505282600410283e-05,6.151921752461931e-06,5.363134732760955e-06,3.988232947449433e-06,21
10.127314567565918,0.6665294170379639,2.594908801256679e-05,3.429996967315674,1.9995882511138916,7.784726619720459,0.3429996967315674,2.594908801256679e-05,1.0991794624715112e-05,5.904967565584229e-06,5.031952241552062e-06,4.020373125968035e-06,22
9.782526016235352,0.663257360458374,2.484828291926533e-05,3.3826892375946045,1.989772081375122,7.454484939575195,0.3382689356803894,2.484828291926533e-05,1.046081797539955e-05,5.623611741611967e-06,4.704488219431369e-06,4.0593640733277425e-06,23
9.420233726501465,0.6583658456802368,2.3695862182648852e-05,3.363783359527588,1.9750975370407104,7.108758449554443,0.3363783359527588,2.3695862182648852e-05,1.0144281077373307e-05,5.459657131723361e-06,4.510736289375927e-06,3.581185637813178e-06,24
9.169710159301758,0.6525700092315674,2.2923468350199983e-05,3.3496036529541016,1.9577100276947021,6.877040386199951,0.33496037125587463,2.2923468350199983e-05,9.87987186817918e-06,5.328647148417076e-06,4.343137788964668e-06,3.371811772012734e-06,25
8.857051849365234,0.645384669303894,2.1974556148052216e-05,3.2853078842163086,1.9361540079116821,6.592366695404053,0.32853078842163086,2.1974556148052216e-05,9.25142830965342e-06,4.958466433890862e-06,3.996195573563455e-06,3.768466513065505e-06,26
8.50471305847168,0.6418611407279968,2.0842839148826897e-05,3.262777805328369,1.9255833625793457,6.252851963043213,0.32627779245376587,2.0842839148826897e-05,9.004035746329464e-06,4.808941412193235e-06,3.818551249423763e-06,3.2113118777488125e-06,27
8.329322814941406,0.6374794840812683,2.0303281417000107e-05,3.2590038776397705,1.9124383926391602,6.090984344482422,0.3259004056453705,2.0303281417000107e-05,8.88746217242442e-06,4.744346369989216e-06,3.726042905327631e-06,2.945429287137813e-06,28
8.157220840454102,0.6306893825531006,1.9811805032077245e-05,3.2161145210266113,1.8920681476593018,5.943541526794434,0.3216114640235901,1.9811805032077245e-05,8.544992851966526e-06,4.5087090256856754e-06,3.5223865779698826e-06,3.2357163490814855e-06,29
7.909584045410156,0.6314151287078857,1.8989016098203138e-05,3.186342716217041,1.8942453861236572,5.696704864501953,0.3186342716217041,1.8989016098203138e-05,8.39763288240647e-06,4.370509941509226e-06,3.415188757571741e-06,2.80568406196835e-06,30
