total_loss,content_loss,style_loss,tv_loss,weighted_content_loss,weighted_style_loss,weighted_tv_loss,color_mean_loss,color_std_loss,color_loss,step
128.8013458251953,0.59913569688797,0.0006333554047159851,0.332852303981781,1.7974071502685547,126.67108154296875,0.332852303981781,0.004073786549270153,0.008883664384484291,0.012957450933754444,1
8.61377239227295,0.3963077962398529,3.665097028715536e-05,0.09465537965297699,1.1889233589172363,7.330193996429443,0.09465537965297699,0.00343901920132339,0.0022152927704155445,0.005654311738908291,2
5.753997325897217,0.3861515522003174,2.259624670841731e-05,0.07629364728927612,1.1584546566009521,4.519249439239502,0.07629364728927612,0.003402200061827898,0.0031038240995258093,0.006506023928523064,3
2.537005662918091,0.3557732403278351,7.140978595998604e-06,0.041490279138088226,1.0673197507858276,1.4281957149505615,0.041490279138088226,0.003336461028084159,0.006168873514980078,0.009505334310233593,4
1.7077587842941284,0.3246045708656311,3.5419504911260447e-06,0.025555012747645378,0.9738137125968933,0.7083901166915894,0.025555012747645378,0.0033024135045707226,0.008303268812596798,0.011605681851506233,5
1.409761667251587,0.2984790802001953,2.4904320525820367e-06,0.01623796671628952,0.8954372406005859,0.49808642268180847,0.01623796671628952,0.0032673622481524944,0.009731009602546692,0.012998372316360474,6
1.224115252494812,0.2640760540962219,2.0899901755910832e-06,0.013889040797948837,0.7922281622886658,0.4179980456829071,0.013889040797948837,0.003249305998906493,0.009952796623110771,0.013202102854847908,7
1.074912428855896,0.2376052439212799,1.7440190731576877e-06,0.013292962685227394,0.7128157615661621,0.3488038182258606,0.013292962685227394,0.0032450081780552864,0.00993320718407631,0.013178215362131596,8
0.9748850464820862,0.21652239561080933,1.5632800796083757e-06,0.012661850079894066,0.649567186832428,0.3126560151576996,0.012661850079894066,0.0032384132500737906,0.009939588606357574,0.013178002089262009,9
0.887658953666687,0.19867494702339172,1.3996400411997456e-06,0.011706121265888214,0.5960248708724976,0.2799279987812042,0.011706121265888214,0.0032271675299853086,0.009993772022426128,0.01322093978524208,10
0.8157817721366882,0.18383285403251648,1.2670643627643585e-06,0.010870376601815224,0.551498532295227,0.2534128725528717,0.010870376601815224,0.0032164822332561016,0.010062485001981258,0.013278966769576073,11
0.7562862634658813,0.17126601934432983,1.1611517720666598e-06,0.010257828049361706,0.5137980580329895,0.23223035037517548,0.010257828049361706,0.0032081659883260727,0.010123761370778084,0.013331927359104156,12
0.7049131989479065,0.1603798270225525,1.0700878192437813e-06,0.009756144136190414,0.48113948106765747,0.2140175700187683,0.009756144136190414,0.0032005240209400654,0.01016622968018055,0.013366753235459328,13
0.6623807549476624,0.15090960264205933,1.0017344038715237e-06,0.009305079467594624,0.452728807926178,0.20034688711166382,0.009305079467594624,0.0031925372313708067,0.010193875059485435,0.013386412523686886,14
0.626447856426239,0.14258623123168945,9.49002412653499e-07,0.008888636715710163,0.42775869369506836,0.18980048596858978,0.008888636715710163,0.0031840987503528595,0.010214393958449364,0.013398492708802223,15
0.5943223237991333,0.1352807879447937,8.998535463433655e-07,0.008509273640811443,0.4058423638343811,0.17997071146965027,0.008509273640811443,0.003175959922373295,0.010238632559776306,0.013414592482149601,16
0.5665655136108398,0.12893524765968323,8.580063877161592e-07,0.00815852452069521,0.3868057429790497,0.1716012805700302,0.00815852452069521,0.003167820628732443,0.010262006893754005,0.013429827988147736,17
0.5425443649291992,0.12330136448144913,8.239057933678851e-07,0.007859083823859692,0.369904100894928,0.16478115320205688,0.007859083823859692,0.003160308115184307,0.010279357433319092,0.013439665548503399,18
0.5207687020301819,0.11813628673553467,7.938115231809206e-07,0.007597488351166248,0.354408860206604,0.15876230597496033,0.007597488351166248,0.00315295672044158,0.010287446901202202,0.013440404087305069,19
0.5011577606201172,0.11338743567466736,7.682455702706648e-07,0.007346324622631073,0.3401623070240021,0.15364910662174225,0.007346324622631073,0.0031450940296053886,0.010289772413671017,0.013434866443276405,20
0.48379239439964294,0.10907047241926193,7.472966672139592e-07,0.007121664471924305,0.3272114098072052,0.1494593322277069,0.007121664471924305,0.0031370767392218113,0.010284299030900002,0.013421375304460526,21
0.4682910740375519,0.10524170100688934,7.282021670107497e-07,0.006925567053258419,0.31572508811950684,0.14564043283462524,0.006925567053258419,0.0031296275556087494,0.010280001908540726,0.013409629464149475,22
0.454028457403183,0.10174892842769623,7.101770052031497e-07,0.006746286526322365,0.3052467703819275,0.14203539490699768,0.006746286526322365,0.003122471272945404,0.010278234258294106,0.01340070553123951,23
0.44150492548942566,0.09867781400680542,6.945093105059641e-07,0.006569627672433853,0.29603344202041626,0.13890185952186584,0.006569627672433853,0.003114694729447365,0.010272840037941933,0.013387534767389297,24
